import time: self [us] | cumulative | imported package
import time:      2193 |       2193 |                 timeit
import time:       686 |        686 |                           scipy.sparse._sputils
import time:       380 |        380 |                           scipy.sparse._matrix
import time:       834 |       1899 |                         scipy.sparse._base
import time:       622 |        622 |                           scipy.sparse._sparsetools
import time:       507 |        507 |                             scipy.sparse._data
import time:       408 |        408 |                             scipy.sparse._index
import time:       640 |       1553 |                           scipy.sparse._compressed
import time:       496 |       2671 |                         scipy.sparse._csr
import time:       500 |        500 |                         scipy.sparse._csc
import time:       780 |        780 |                           scipy.sparse._csparsetools
import time:       508 |       1287 |                         scipy.sparse._lil
import time:       547 |        547 |                         scipy.sparse._dok
import time:       675 |        675 |                         scipy.sparse._coo
import time:       486 |        486 |                         scipy.sparse._dia
import time:       502 |        502 |                         scipy.sparse._bsr
import time:      1724 |       1724 |                         scipy.sparse._construct
import time:       323 |        323 |                         scipy.sparse._extract
import time:       315 |        315 |                         scipy.sparse._matrix_io
import time:       289 |        289 |                         scipy.sparse.base
import time:       288 |        288 |                         scipy.sparse.bsr
import time:       292 |        292 |                         scipy.sparse.compressed
import time:       292 |        292 |                         scipy.sparse.construct
import time:       317 |        317 |                         scipy.sparse.coo
import time:       286 |        286 |                         scipy.sparse.csc
import time:       291 |        291 |                         scipy.sparse.csr
import time:       324 |        324 |                         scipy.sparse.data
import time:       287 |        287 |                         scipy.sparse.dia
import time:       290 |        290 |                         scipy.sparse.dok
import time:       314 |        314 |                         scipy.sparse.extract
import time:       288 |        288 |                         scipy.sparse.lil
import time:       287 |        287 |                         scipy.sparse.sparsetools
import time:       293 |        293 |                         scipy.sparse.sputils
import time:       848 |      15903 |                       scipy.sparse
import time:       733 |      16635 |                     scipy.spatial._ckdtree
import time:       596 |      17230 |                   scipy.spatial._kdtree
import time:       620 |        620 |                     scipy._lib.messagestream
import time:       816 |       1436 |                   scipy.spatial._qhull
import time:       622 |        622 |                     scipy.spatial._voronoi
import time:       587 |       1209 |                   scipy.spatial._spherical_voronoi
import time:       456 |        456 |                   scipy.spatial._plotutils
import time:       524 |        524 |                   scipy.spatial._procrustes
import time:       463 |        463 |                       scipy.spatial._hausdorff
import time:       740 |        740 |                       scipy.spatial._distance_pybind
import time:       384 |        384 |                       scipy.spatial._distance_wrap
import time:      2580 |       4165 |                     scipy.spatial.distance
import time:       456 |       4620 |                   scipy.spatial._geometric_slerp
import time:       322 |        322 |                   scipy.spatial.ckdtree
import time:       316 |        316 |                   scipy.spatial.kdtree
import time:       296 |        296 |                   scipy.spatial.qhull
import time:       720 |        720 |                       scipy.spatial.transform._rotation_cy
import time:       507 |        507 |                       scipy.spatial.transform._rotation_xp
import time:      4355 |       4355 |                           scipy.constants._codata
import time:      1013 |       1013 |                           scipy.constants._constants
import time:       311 |        311 |                           scipy.constants.codata
import time:       329 |        329 |                           scipy.constants.constants
import time:       962 |       6968 |                         scipy.constants
import time:       508 |       7476 |                       scipy.spatial.transform._rotation_groups
import time:      8380 |      17082 |                     scipy.spatial.transform._rotation
import time:       517 |        517 |                       scipy.spatial.transform._rigid_transform_cy
import time:       409 |        409 |                       scipy.spatial.transform._rigid_transform_xp
import time:      5329 |       6254 |                     scipy.spatial.transform._rigid_transform
import time:       483 |        483 |                     scipy.spatial.transform._rotation_spline
import time:       323 |        323 |                     scipy.spatial.transform.rotation
